term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Diffuse Correlation Spectroscopy,"Diffuse Correlation Spectroscopy (DCS) uses the temporal fluctuations of speckles formed on the tissue surface by coherent light  to derive metrics for the motion of scatterers in highly scattering media such as blood cells flowing in tissue vasculature. The DCS technique was formulated based on the correlation diffusion equation; it is formally equivalent to the technique (formulated as an integral equation rather than a differential equation) called diffuse wave spectroscopy (DWS).  In the diffuse optics community the term DWS sometimes implied absorption spectroscopy, hence the term DCS was introduced to reduce terminology confusion. The word ""correlation"" in the name is connected with the fact that canonical DCS uses the auto-correlation function of the intensity fluctuations as its primary measured quantity. 
Apart from the usual optical properties (absorption and reduced scattering coefficients), the DCS signal (decay of the measured curve) in tissue is dominated by the movement of red blood cells which permits DCS to estimate a blood flow index. Standard DCS measures the autocorrelation function and fits these measurements to solutions of the correlation diffusion equation for the appropriate geometry and boundary conditions. DCS is closely related to the other speckle correlation techniques such as interferometric DCS and DWS (iDCS/iDWS), Speckle Contrast Optical Spectroscopy and Tomography (SCOS/SCOT), Laser Speckle Contrast Imaging (LSCI), and Diffuse Correlation Tomography (DCT). Other implementations of DCS have been described in the literature.
",Physics,,DCS,Diffuse Wave Spectroscopy (DWS) ,"<p></p><a href=""https://doi.org/10.1103/PhysRevLett.75.1855
"" target=""_blank"">https://doi.org/10.1103/PhysRevLett.75.1855
</a><p></p><a href=""https://doi.org/10.1364/JOSAA.14.000192
"" target=""_blank"">https://doi.org/10.1364/JOSAA.14.000192
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.06.017
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.06.017
</a><p></p><a href=""https://doi.org/10.1117/1.NPh.10.1.013509
"" target=""_blank"">https://doi.org/10.1117/1.NPh.10.1.013509
</a><p></p><a href=""https://doi.org/10.1098/rsta.2011.0232
"" target=""_blank"">https://doi.org/10.1098/rsta.2011.0232
</a>"," Diffuse Correlation Spectroscopy (DCS) uses the fluctuation statistics of diffuse, coherent  light to measure microvascular blood flow in tissues.", , ,"Arjun Yodh, Turgut Durduran"," Franziska Klein, David Mehler, Rickson Mesquita, Michael Lührs, Stefan Carp",Complete (agreement from at least 5 team members) 
Diffuse Optical Imaging,"Diffuse Optical Imaging (DOI) measures multiple scattered light and inverts this data to spatially resolve optical properties of a diffuse medium, generally by utilizing a reconstruction algorithm. Optical properties, in turn, are used to compute physiological parameters (e.g., hemoglobin concentration). Diffuse optical imaging covers both Diffuse Optical Topography (reconstruction in 2D), and Diffuse Optical Tomography (reconstruction in 3D). ",Physics,"Diffuse Optical Tomography, Optical Tomography, High Density Diffuse Optical Tomography, Functional Near Infrared Spectroscopy",DOI,,"<p></p><a href=""https://doi.org/10.1088/0031-9155/50/4/r01
"" target=""_blank"">https://doi.org/10.1088/0031-9155/50/4/r01
</a><p></p><a href=""https://doi.org/10.1364/boe.467614
"" target=""_blank"">https://doi.org/10.1364/boe.467614
</a>"," Diffuse Correlation Spectroscopy (DCS) uses the fluctuation statistics of diffuse, coherent  light to measure microvascular blood flow in tissues.", , ,David Busch," David Busch, Franziska Klein, Musa Talati, Guy Perkins, Rickson Mesquita, Arjun Yodh, Heidrun Wabnitz, Ilias Tachtsidis, Stefan Carp, Meryem Ayse Yucel",Complete (agreement from at least 5 team members) 
Dynamic range,"The dynamic range of a given quantity is the ratio between the largest and the smallest value it can assume. In the context of NIRS devices, it often describes the range of the device operation (i.e., the range between the saturation level and the noise level). It is often further limited to the linear range between these two extremes.",Physics,Saturation,"DR, DNR",,"<p></p><a href=""https://doi.org/10.1117/1.2363365
"" target=""_blank"">https://doi.org/10.1117/1.2363365
</a>", , , ,"OntoNIRS, Rickson Mesquita"," Anna Exner, Rickson Mesquita, Musa Talati, Guy Perkins, Turgut Durduran, Arjun Yodh, Stefan Carp",Complete (agreement from at least 5 team members)
Electrical Field Temporal Autocorrelation Function,"The unnormalized Electric Field Temporal Autocorrelation function ($G_1$) is the temporal autocorrelation function of the electric field traversing the scattering medium or (more typically) emitted/scattered from the medium. It is a key function used in the analysis of data from measurements implementing diffuse correlation spectroscopy (DCS) and related methods that utilize laser speckle statistics. $G_1$ is modeled by the correlation diffusion equation and its normalized form, $g_1$, is used to fit the measured data.It can be written as $G_1(\\bf{r}, \\tau,t) = < E (\\bf{r},t) E^* (\\bf{r},\\tau+t)>$. In a typical experiment, it is derived from the normalized intensity autocorrelation function ($g_2$) that is often the main measured quantity in DCS by relying on the so-called ""Siegert relation"".  The Siegert relationship between intensity based autocorrelation function ($g_2$) and electric field temporal autocorrelation $(g_1)$ is 
$g_2 (\\tau) = 1 + \\beta |g_1(\\tau)| 2$
",Physics," Intensity Temporal Autocorrelation (G2), Diffuse Correlation Spectroscopy",G1,Normalized Electric Field Temporal Autocorrelation (g1),"<p></p><a href=""	https://doi.org/10.1364/JOSAA.14.000192
"" target=""_blank"">	https://doi.org/10.1364/JOSAA.14.000192
</a><p></p><a href=""https://doi.org/10.1103/PhysRevLett.75.1855
"" target=""_blank"">https://doi.org/10.1103/PhysRevLett.75.1855
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.06.017
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.06.017
</a><p></p><a href=""https://doi.org/10.1088/0034-4885/73/7/076701
"" target=""_blank"">https://doi.org/10.1088/0034-4885/73/7/076701
</a>", , , ,"Turgut Durduran, Arjun Yodh"," Aykut Eken, David Busch , Franziska Klein, Rickson Mesquita, Stefan Carp",Complete (agreement from at least 5 team members) 
Event-related optical signal,"Event-related optical signals (EROS) arise from the changes in optical scattering that occur when the neurons become hyperpolarized or depolarised during brain activity. They can be measured from the scalp using NIRS and they are more closely related to neuronal activity than the hemodynamic responses. In fact, the localized brain response is within milliseconds in terms of temporal resolution and in the sub-centimetre range for spatial resolution. The NIRS device must have a sampling rate of at least 100 Hz sampling rate and/or be capable of quantifying scattering changes. Typically these measurements have been difficult to reproduce and are not widely used.",Physics,"infrared light scattering, Fast Optical Signal",EROS,,"<p></p><a href=""https://doi.org/10.3758/BF03208834
"" target=""_blank"">https://doi.org/10.3758/BF03208834
</a><p></p>
<p></p><a href=""https://doi.org/10.3389/fnhum.2010.00052
"" target=""_blank"">https://doi.org/10.3389/fnhum.2010.00052
</a>", , , ,"David Moreau, Paola Pinti"," Mahmoud Elsherif; Haiyan Kong, Murat Can Mutlu, Paola Pinti, Guy Perkins, Stefan Carp",Complete (agreement from at least 5 team members) 
Fast Optical Signal,"Fast optical signal (FOS) (also known as Event-related optical signal (EROS) for the time-locked to particular events) is the signal measured on a time scale ~100ms and it is thought to be related to scattering changes due to neuronal activity: when neurons pass from an inactive state to a hyperpolarized or depolarised state, they cause a change in the scattering of the tissue. FOS are more closely related to neuronal activity than the hemodynamic response.",Physics,EROS (Event-related Optical Signal),FOS,,"<p></p><a href=""https://doi.org/10.3389/fnhum.2010.00052
"" target=""_blank"">https://doi.org/10.3389/fnhum.2010.00052
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2005.03.006
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2005.03.006
</a><p></p><a href=""https://doi.org/10.1162/jocn.1995.7.4.446
"" target=""_blank"">https://doi.org/10.1162/jocn.1995.7.4.446
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2010.02.076
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2010.02.076
</a>", , , ,"Aykut Eken, Paola Pinti, Guy Perkins"," Paola Pinti, Rickson Mesquita, Stefan Carp",Complete (agreement from at least 5 team members)
Fluence,The fluence represents the (optical) energy delivered per unit area over a time interval from all directions about a given point within a turbid medium. The fluence is proportional to the number of photons in the unit volume regardless of their direction of motion.,Physics,Light intensity,$$phi$$,,"<p></p><a href=""https://doi.org/10.1017/CBO9781139029797
"" target=""_blank"">https://doi.org/10.1017/CBO9781139029797
</a><p></p><a href=""https://doi.org/10.1002/cnm.1162
"" target=""_blank"">https://doi.org/10.1002/cnm.1162
</a><p></p><a href=""https://doi.org/10.1117/3.2624517
"" target=""_blank"">https://doi.org/10.1117/3.2624517
</a>", , , ,Rickson Mesquita," Guy Perkins, Stefan Carp, David Busch, Alessandro Torricelli",Complete (agreement from at least 5 team members) l
Frequency,"The frequency of a periodic event is the number of repetitions per second. Frequency is measured in Hertz (Hz), a frequency of n Hz indicates that a periodic cycle has repeated itself n times per second.",Physics,,f,,"<p></p><a href=""https://doi.org/10.1017/CBO9781139029797
"" target=""_blank"">https://doi.org/10.1017/CBO9781139029797
</a>", , , ,OntoNIRS," Anna Exner, Guy Perkins, Rickson Mesquita, Stefan Carp",Complete (agreement from at least 5 team members) 
Frequency-domain near-infrared spectroscopy,"Frequency-domain near-infrared spectroscopy (FD-NIRS) is an fNIRS technique that sinusoidally modulates a near-infrared light source at a given frequency into tissue, and detects the phase shift as well as the attenuation in amplitude with the aim of estimating the absorption and scattering coefficients of the medium. The modulation frequency needs to be higher than the shift induced by the time of light propagation inside the medium (on the order of nanoseconds), which depends on the light speed in the medium. Usually this is on the order of 100 MHz. FD spectroscopy can vary the modulation frequency (Multi-Frequency FD) and measures the amplitude attenuation and phase shift at different frequencies. In some cases, it is possible to measure attenuation and phase at one single frequency and use modeling assumptions to estimate the absorption and scattering coefficients and in turn, quantify chromophore concentrations.",Physics,,"FD-DOS, FD-NIRS","Frequency-domain spectroscopy, Frequency-domain diffuse optical spectroscopy","<p></p><a href=""https://doi.org/10.1017/CBO9781139029797
"" target=""_blank"">https://doi.org/10.1017/CBO9781139029797
</a>", , , ,Nick Ross," Guy Perkins, Rickson Mesquita, Nick Ross, Heidrun Wabnitz, Stefan Carp",Complete (agreement from at least 5 team members)
Frequency Range,"Frequency range refers to an interval defined by lower and upper frequency values. A system, whether biological or electronic, either produces or responds to signals, which generally consist of a great number of components with different frequencies. Therefore, the term also refers to the set of signals that are significant for a system or that a system can detect and generate a non-negligible, consistent response against (e.g., human ear can detect sounds within a window of 20 Hz - 20 kHz) or that can be consistently produced by a system (e.g., oscillators). fNIRS can measure several frequency ranges of physiological interest, such as heart rate, respiration, low-frequency oscillations (typically associated with functional connectivity), and the hemodynamic response related with the neural activity.",Physics,Frequency,,,"<p></p><a href=""	https://doi.org/10.1117/1.NPh.8.1.012101 
"" target=""_blank"">	https://doi.org/10.1117/1.NPh.8.1.012101 
</a>", , , ,Murat Can Mutlu," Rickson Mesquita, Guy Perkins, Stefan Carp, Anna Exner, Alessandro Torricelli ",Complete (agreement from at least 5 team members) 
Functional Near-Infrared Spectroscopy,"Functional near-infrared spectroscopy (fNIRS) is a non-invasive diffuse optical technique that quantifies changes in measured signals from a single or several source-detector pairs over short periods of time (ranging from seconds to hours) in order to detect functional brain activation. Typically, it is assumed that the changes in light intensity during this temporal range reflect changes in absorption only (i.e., scattering is constant during this period). The changes in absorption can then be related to changes in chromophore concentration such as oxy- and deoxy-hemoglobin, water, and cytochrome c oxidase. fNIRS is performed with continuous-wave spectroscopy devices, as well as frequency-domain and time-domain spectroscopy techniques. In the case of frequency-domain and time-domain systems, it is possible to obtain absolute parameters of optical properties and therefore absolute concentration changes, but this is less commonly performed. 
fNIRS measurements with multiple measurement channels may use image reconstruction methods, which when done for 2D (topographic) or 3D (tomographic) images falls into the domain of diffuse optical imaging.
",Physics,"Light absorption, light source, light detectors, continuous wave spectroscopy, infrared spectroscopy",fNIRS,," <p></p><a href=""	https://doi.org/10.1016/j.neuroimage.2012.03.049
"" target=""_blank"">	https://doi.org/10.1016/j.neuroimage.2012.03.049
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.11.033
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.11.033
</a>", , Diffuse Optical Imaging, ,"Talukdar Raian Ferdous, Guy Perkins"," Rickson Mesquita, Musa Talati, Guy Perkins, Heidrun Wabnitz, Ilias Tachtsidis, Stefan Carp, Meryem Ayse Yucel, Katharina Stute",Complete (agreement from at least 5 team members)
Illumination,"The term illumination refers to the act of applying light (near-infrared light, 650–950 nm) over an area of interest (such as the individual’s head) using light sources directly or through wave guides (optical fibers). The source of illumination can be a thermal lamp, a light amplification by stimulated emission of radiation (LASER), or a light-emitting diode (LED).",Physics,"Infrared light, Source, Emitter",,,"<p></p><a href=""https://doi.org/10.3389/fnhum.2014.00549
"" target=""_blank"">https://doi.org/10.3389/fnhum.2014.00549
</a><p></p>
<p></p><a href=""https://doi.org/10.1017/CBO9781139029797
"" target=""_blank"">https://doi.org/10.1017/CBO9781139029797
</a>", , , ,Ségolène Guérin," Talukdar Raian Ferdous, David Mehler, Rickson Mesquita, Renato Orti, Katharina Stute, Stefan Carp",Complete (agreement from at least 5 team members)
Intensity Temporal Autocorrelation (G2),"Intensity Temporal Autocorrelation ($G_2$) or its normalized form, ""Normalized Intensity Temporal Autocorrelation ($g_2$)"",  is the most commonly measured quantity in Diffuse Correlation Spectroscopy (DCS) measurements.  Normalized Electric Field Autocorrelation function is often derived from $g_2$ using the so-called ""Siegert Relation"" which is used to fit DCS data. In Siegert relation, the relationship between $g_2(\\tau)$ and $g_1(\\tau)$ is; $ g_2(\\tau) = 1 + \\beta |g_1 (\\tau) |^2 $ . In this equation, $\\beta$ is an experimental factor which is equal to 1 for an ideal experimental design.Its formal definition is $G_2 ({\\bf{r},\\tau,t) = <I(\\bf{r}, t) I(\\bf{r}, t + \\tau)>$ where $\\bf{r}$ is the source-detector separation/position, $\\tau$ is the delay time in the autocorrelation, $t$ is time and $<...>$ indicate ensemble averages.
",Physics,"Electric Field Temporal Autocorrelation Function, Diffuse Correlation Spectroscopy",$$G_2$$,Normalized Intensity Temporal Autocorrelation (g2),"<p></p><a href=""https://doi.org/10.1364/JOSAA.14.000192
"" target=""_blank"">https://doi.org/10.1364/JOSAA.14.000192
</a><p></p><a href=""https://doi.org/10.1103/PhysRevLett.75.1855
"" target=""_blank"">https://doi.org/10.1103/PhysRevLett.75.1855
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.06.017
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.06.017
</a><p></p><a href=""https://doi.org/10.1088/0034-4885/73/7/076701 
"" target=""_blank"">https://doi.org/10.1088/0034-4885/73/7/076701 
</a>", , , ,Turgut Durduran," Rickson Mesquita, Aykut Eken, Guy Perkins, Stefan Carp",Complete (agreement from at least 5 team members) 
Interferometric near-infrared spectroscopy (iNIRS),"A time-of-flight (TOF) resolved sensing technique used to identify the optical and dynamical characteristics of a turbid medium. This is measured by the interference pattern from the spectrum of light traversing the medium with a rapidly tunable or frequency-swept light source. The performance of the iNIRS system depends on the spectral and tuning parameters of the light source, with the spectral linewidth determining the TOF range, while the bandwidth determines the TOF resolution.",Experimental Design,,iNIRS,,"<p></p><a href=""https://doi.org/10.1364/OE.24.000329
"" target=""_blank"">https://doi.org/10.1364/OE.24.000329
</a>", , , ,"David Moreau, Mahmoud Elsherif"," Mahmoud Elsherif, Guy Perkins",Status: Complete (agreement from < 5 team members)
Isosbestic point,"An isosbestic point is the wavelength in which two or more chromophores have the same absorption coefficient. The isosbestic point of interest in NIRS is for oxygenated and deoxygenated hemoglobin, and is at ~800 nm.",Physics,"Oxygenated Hemoglobin, Absorption Spectrum, Absorption Coefficient ",,,"<p></p><a href=""	https://doi.org/10.1016/j.neuroimage.2013.05.004
"" target=""_blank"">	https://doi.org/10.1016/j.neuroimage.2013.05.004
</a>", , , ,Paola Pinti," Franziska Klein, Anna Exner, Musa Talati, Guy Perkins, Stefan Carp",Complete (agreement from at least 5 team members)
Laser,"Laser is a device that emits light through a process of optical amplification based on the stimulated emission of electromagnetic radiation. The term laser originated as an acronym for light amplification by stimulated emission of radiation. As a consequence, the laser produces light within a narrow band of the electromagnetic spectrum (monochromatic). The laser light is also coherent (the light waves are in phase) and highly collimated (all rays are parallel to each other and do not diverge significantly).","Physics, Hardware"," Light Source, Emitter, Optode",,,"<p></p><a href=""https://doi.org/10.1364/ao.49.000f99
"" target=""_blank"">https://doi.org/10.1364/ao.49.000f99
</a>", , , ,OntoNIRS," Guy Perkins, Rickson Mesquita, Sergio Fantini, Stefan Carp",Complete (agreement from at least 5 team members)
Light,"Light is a form of radiant energy emitted from a luminous body. It is a general term referring to electromagnetic radiation in the visible part of the spectrum for humans, ranging approximately from 650 to 900 nm (1 nm = $10^{-9}$ m). Its electromagnetic waves travel in free space with the speed of $3 \\times 10^{8}$ m/s. Like all electromagnetic radiation, light can also be interpreted not only as waves but also as discrete ""packets"" of energy (quanta) known as photons.",Physics,,,,"<p></p><a href=""https://doi.org/10.1364/ao.49.000f99
"" target=""_blank"">https://doi.org/10.1364/ao.49.000f99
</a>", , , ,OntoNIRS," Guy Perkins, Rickson Mesquita, Heidrun Wabnitz, Stefan Carp",Complete (agreement from at least 5 team members)
Light Intensity,"Light intensity is the radiant power received by a surface per unit area, due to illumination, or the radiant power received per unit solid angle. Radiant power is the energy received per unit time. SI units for light intensity are watt per meter squared ($W/m^2$) or watt per steradian ($W/sr$).",Physics,,"$$W/m^2$$, $$W/sr$$, I","Radiant Intensity, Optical Intensity, Irradiance, Illuminance","<p></p><a href=""	https://doi.org/10.1142/7609
"" target=""_blank"">	https://doi.org/10.1142/7609
</a>", , , ,Musa Talati," Franziska Klein, Guy Perkins, Rickson Mesquita, Stefan Carp",Complete (agreement from at least 5 team members)
Light source,"A light source is any body that emits light. The bodies which have their own power of radiating light are known as self-luminous. The bodies which have no light of their own but are visible only by the light falling on them from other sources are said to be non-luminous bodies. The light sources which can be approximated as geometrical points are called points sources. Light sources that extend over one dimension or more are termed extended sources; such sources consist of innumerable point sources. In the context of fNIRS, a light source refers to a device (e.g., laser, LED, lamp) emitting light onto the surface of the tissue or phantom of interest.",Physics, Laser,,"source","<p></p><a href=""	https://doi.org/10.1117/1.NPh.8.1.012101
"" target=""_blank"">	https://doi.org/10.1117/1.NPh.8.1.012101
</a>", , , ,OntoNIRS," Christian Bartkowski, Guy Perkins, Rickson Mesquita, Stefan Carp",Complete (agreement from at least 5 team members)
Modified Beer-Lambert Law,"A common approach to measuring changes in the tissue absorption using continuous waves methods is based on a generalization of Beer-Lambert law in conjunction with the assumption that the scattering properties of tissue do not vary with time. The modified Beer-Lambert law (mBLL) can be expressed as follows:

\\[
  I=I_0e^{(-\\overline{DPF}\\mu_ar)-G}
\\]

Where:
$I$ is the detected optical intensity. $I_{0}$ $I_0$ is the incident intensity. $\\overline{DPF}$ is an average (over the absorption range 0- $\\mu_a$) mean pathlength factor that depends on the optical properties of tissue $\\overline{DPF}$ accounts for the dependence of the mean optical pathlength on scattering and absorption and $r$ is the inter-optode distance. $G$ is a factor that accounts for the effect of scattering and $\\mu_{a}$ $\\mu_a$ is the absorption coefficient.

By calculating logarithmic ratio of I and $I_0$ , we estimate the attenuation OD (optical density): 

\\[ 
A = OD = log_{10}\\frac{I_0}{I} = \\frac{[\\bar{DPF} \\mu_a r + G]}{log_e(10)}  
\\]

which is the integral form of the mBLL. It is valid for an arbitrary medium in terms of its geometry and spatial distribution of the scattering coefficient.


If we assume that G is constant and that the absorption change in the medium between a baseline condition and a test condition is small compared to $\\mu_{a}$, it can be shown that the logarithmic difference between the detected intensity at baseline and during the test condition can be written as follows:

\\[ 
\\Delta A = \\Delta {OD} = log_{10}(\\frac{I_{baseline}}{I_{test}}) = DPF \\frac{ r \\Delta \\mu_a}{log_e(10)}     
\\]



where:
Differential pathlength factor (DPF) is defined as the ratio of the mean pathlength of detected photons at baseline to the inter-optode distance. The last equation is the differential form of the mBLL and it is valid for an arbitrary medium in terms of its geometry and spatial distribution of the optical properties at baseline. The only requirement is that $\\Delta \\mu_a$ is spatially uniform. 

The change in the absorption coefficient $\\Delta \\mu_a$ is the summation of the changes in the absorption contributions associated with available chromophores in the medium e.g.  HbO$_2$ and Hb which are given by the product of their molar decadic absorption coefficients ( $\\epsilon_{HbO_2}, \\epsilon_{Hb}$) and their concentration changes:

\\[  
\\Delta \\mu_a (\\lambda) = log _e(10) \\cdot [  \\epsilon_{HbO_2}(\\lambda) \\Delta c_{HbO_2} + \\epsilon_{Hb}(\\lambda) \\Delta c_{Hb} ] 
\\]

The change in absorbance can then be written for two wavelengths ($ \\lambda_1 , \\lambda_2 $) and two chromophores (HbO$_2$, Hb) as below, assuming DPF to be independent of wavelength:

\\[
\\Delta A(\\lambda_1) = DPF \\cdot r \\cdot [  \\epsilon_{HbO_2}(\\lambda_1) \\Delta c_{HbO_2} + \\epsilon_{Hb}(\\lambda_1) \\Delta c_{Hb} ] 
\\]

\\[
\\Delta A(\\lambda_2) = DPF \\cdot r \\cdot [  \\epsilon_{HbO_2}(\\lambda_2) \\Delta c_{HbO_2} + \\epsilon_{Hb}(\\lambda_2) \\Delta c_{Hb} ] 
\\]

One can estimate the concentration changes of both hemoglobin species by solving this system of linear equations.


",Physics,"Beer Lambert Law, Light Intensity, Molar Absorption     ",mBLL,modified Bouguer-Beer-Lambert Law,"<p></p><a href=""	https://doi.org/10.1039/9781847551207
"" target=""_blank"">	https://doi.org/10.1039/9781847551207
</a><p></p><a href=""https://doi.org/10.1088/0031-9155/51/5/N02
"" target=""_blank"">https://doi.org/10.1088/0031-9155/51/5/N02
</a><p></p><a href=""https://doi.org/10.1088/0031-9155/33/12/008
"" target=""_blank"">https://doi.org/10.1088/0031-9155/33/12/008
</a><p></p><a href=""https://doi.org/10.1088/0031-9155/49/14/N07
"" target=""_blank"">https://doi.org/10.1088/0031-9155/49/14/N07
</a>", , , ,"Angelo Sassaroli, Sergio Fantini"," Franziska Klein, Aykut Eken, Guy Perkins, Rickson Mesquita, Heidrun Wabnitz, Ilias Tachtsidis, Sergio Fantini, Stefan Carp, Katharina Stute, Meryem Ayşe Yücel, Angelo Sassaroli",Complete (agreement from at least 5 team members) 
Molar absorption coefficient,"The molar (decadic) absorption coefficient (formerly: molar decadic extinction coefficient) is an intrinsic property of a given molecule (chromophore) or substance that describes how strongly that molecule/substance absorbs light at a particular wavelength. It is equal to absorbance (A, base 10) divided by the absorption pathlength, d, and the amount concentration, c:

	$ \\epsilon(\\lambda) = -\\frac{1}{cd}log_{10}(\\frac{I_d}{I_0}) = \\frac{A(\\lambda)}{cd} $

It is generally represented by the unit $M^{-1}$ cm$^{-1} (= $L mol$^{-1}$ cm$^{-1}$.
",Physics,"optical density, modified beer-lambert law, attenuation, absorption of light",$$\epsilon$$,"molar absorption coefficient, molar attenuation coefficient","<p></p><a href=""	https://doi.org/10.1351/goldbook
"" target=""_blank"">	https://doi.org/10.1351/goldbook
</a><p></p><a href=""https://doi.org/10.1351/goldbook.M03972
"" target=""_blank"">https://doi.org/10.1351/goldbook.M03972
</a>", , , ,Divya Jain," Franziska Klein, Guy Perkins, Rickson Mesquita,Stefan Carp",Complete (agreement from at least 5 team members)
Near infrared spectroscopy,"Near-infrared spectroscopy (NIRS) is an analytical optical technique that uses near-infrared light (650 - 900 nm) to shine light to a sample and measures the portion of the light that travels through the sample. NIRS has been used in many fields such as agriculture, food, chemical industries, clinical chemistry, pharmaceutical, and medicine. Absorption and/or fluorescence NIRS is utilized in different techniques with different resolution and penetration depth, such as conventional microscopy, confocal/multi-photon microscopy, optical coherence tomography, photodynamic therapy, in vivo molecular imaging and medical diffuse optical imaging. The main applications in medicine are pulse oximetry, brain/muscle oximetry, functional NIRS and optical mammography.fNIRS typically uses the NIR range between 650–900 nm at which the light can travel a couple of centimeters deep in tissue. This is due to the fact that the absorption of light by the main chromophores in tissue (i.e hemoglobin, water, lipids, collagen, melanin and proteins) is relatively small in this “optical window”. fNIRS devices typically contain a set of light sources that emit NIR light in the optical window at two or more wavelengths and a set of detectors to collect light back from the sample. The detected light is then used to estimate the absolute values or relative changes in chromophore concentrations using the modified Beer-Lambert Law, generally in a context where these changes reflect functional brain activity  
Frans Jöbsis is considered the founder of in vivo medical NIRS that enables real-time non-invasive detection of regional hemoglobin oxygenation.  
",Physics,functional Near Infrared Spectroscopy,NIRS, ,"DOI: <p></p><a href=""https://doi.org/10.1126/science.929199
"" target=""_blank"">https://doi.org/10.1126/science.929199
</a><p></p><a href=""https://doi.org/10.1016/s0166-2236(97)01132-6
"" target=""_blank"">https://doi.org/10.1016/s0166-2236(97)01132-6
</a><p></p><a href=""https://doi.org/10.1255/jnirs.973
"" target=""_blank"">https://doi.org/10.1255/jnirs.973
</a><p></p><a href=""https://doi.org/10.1117/1.JBO.20.3.030901
"" target=""_blank"">https://doi.org/10.1117/1.JBO.20.3.030901
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.05.004
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.05.004
</a>", , , ,"Meryem Ayşe Yücel, Marco Ferrari, Valentina Quaresima"," Franziska Klein, Guy Perkins, Yoko Hoshi, Alessandro Torricelli, Rickson Mesquita, Heidrun Wabnitz, Stefan Carp",Complete (agreement from at least 5 team members)
Nyquist Frequency,"For signal processing systems that transform a continuous-time signal to a discrete-time signal, the Nyquist Frequency is the maximum frequency that can be acquired at a given sampling rate in order to be able to reconstruct the signal completely afterwards. Typically it is 0.5x the sampling rate of your system. Beyond the Nyquist frequency, the signal experiences a distortion known as ‘Aliasing’.",Physics,,fN,"Folding frequency, Nyquist Limit","<p></p><a href=""	https://mathworld.wolfram.com/NyquistFrequency.html
"" target=""_blank"">	https://mathworld.wolfram.com/NyquistFrequency.html
</a><p></p><a href=""	https://doi.org/10.1109/PROC.1967.5962
"" target=""_blank"">	https://doi.org/10.1109/PROC.1967.5962
</a>", , , ,Usama A Syed," Anna Exner, Murat Can Mutlu, Musa Talati, Guy Perkins, Rickson Mesquita, Stefan Carp",Complete (agreement from at least 5 team members)
Optical density,"Optical density (or Absorbance) is defined as the (decadic) logarithm of the ratio of incident to transmitted radiant power through a (non-scattering) sample. This quantity is used, e.g., in spectrophotometry to characterize a dissolved chromophore in a non-scattering solution or an optical filter. Absorbance is defined as:
	$A = -log_{10} T = -log_{10}(\\frac{I_d}{I_0})
where A is the absorbance or optical density, T is the transmittance, $I_{d}$ is the intensity of the transmitted light after the light traveling a pathlength d, and $I_{0}$  is the intensity of the incident light.
For a single chromophore, T can be written as
	
	$T = e^{-\\mu_a d} = 10^{-\\epsilon cd}$
where a $\\mu_a$ is the absorption coefficient, $\\epsilon$ is the molar decadic absorption coefficient, c is the concentration of the chromophore. This equation leads to

	$A = \\epsilon cd = \\frac{\\mu_a d}{log_e 10}$
	$\\mu_a = log_e 10 \\cdot \\epsilon c = 2.303 \\epsilon c$
In fNIRS, optical density (OD) is sometimes used as a synonym for (decadic) attenuation (termed A as well). In this context, attenuation is relevant instead of absorbance since it also includes the effect of light scattering. 

",Physics, ,"A, OD", ,"<p></p><a href=""	https://doi.org/10.1117%2F1.NPh.8.1.012101
"" target=""_blank"">	https://doi.org/10.1117%2F1.NPh.8.1.012101
</a>", , , ,"Heidrun Wabnitz, OntoNIRS"," Franziska Klein, Guy Perkins, Heidrun Wabnitz, Stefan Carp, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members) 
